File Name,AST Similarity,Cosine TF-IDF Similarity,CodeBERT Semantic Similarity,CodeT5 Semantic Similarity,Node Overlap Similarity,Edge Overlap Similarity,CFG Similarity,Data Flow Similarity,Token Edit Similarity,Path Jaccard Similarity,Rabin Karp Similarity,NCD Similarity,MinHash Similarity,Dice Trigram Similarity,Execution Trace Similarity,CodeBLEU Score,Weisfeiler-Lehman Similarity,Jaro-Winkler Similarity,LCS Similarity,N-gram Token Similarity,clone_type
Gpt_false_pair_0.c,1.0,1.0,0.99992526,0.99691206,0.166666667,0.0,0.857054252,0.627549069,1.0,1.0,1.0,0.053191489,1.0,2.0,0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1.c,1.242753623,1.0,0.9921198,0.9453917,0.147058824,0.0,0.621561909,0.789688239,0.909090909,0.0,0.3,0.2,0.62601626,1.0,0,0.454545455,0.45,0.961971831,0.909090909,0.666666667,type12
Gpt_false_pair_10.c,1.0,1.0,1.0,1.0,0.128205128,0.0,0.569779714,0.747303281,1.0,1.0,1.0,0.095238095,1.0,2.0,1,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_100.c,1.0,1.0,0.99988985,0.99424946,0.15942029,0.0,0.652062139,0.55530201,1.0,1.0,1.0,0.05952381,1.0,2.0,0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1000.c,1.0,1.0,1.0,1.0,0.142857143,0.0,0.811451738,0.697253441,1.0,1.0,1.0,0.107142857,1.0,2.0,0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1001.c,1.0,1.0,0.9988918,0.986915,0.151515152,0.0,0.634941505,0.638031461,1.0,1.0,1.0,0.139534884,1.0,2.0,0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1002.c,1.0,1.0,0.99903184,0.9862737,0.151515152,0.0,0.774022078,0.896462647,1.0,1.0,1.0,0.153846154,1.0,2.0,0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1003.c,1.0,1.0,0.9990961,0.98611057,0.151515152,0.0,0.643888597,0.785938644,1.0,1.0,1.0,0.153846154,1.0,2.0,0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1004.c,1.0,1.0,0.99884635,0.9840604,0.151515152,0.028571429,0.806905709,0.884353048,1.0,1.0,1.0,0.162162162,1.0,2.0,0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1005.c,1.0,1.0,0.9987557,0.9843141,0.151515152,0.0,0.764517006,0.717612494,1.0,1.0,1.0,0.15,1.0,2.0,0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1006.c,1.0,1.0,0.99885786,0.98639643,0.151515152,0.0,0.855901964,0.856373532,1.0,1.0,1.0,0.139534884,1.0,2.0,0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1007.c,1.0,1.0,0.998998,0.98442286,0.151515152,0.028571429,0.78911705,0.663141526,1.0,1.0,1.0,0.153846154,1.0,2.0,0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1008.c,1.0,1.0,0.99880517,0.9846276,0.151515152,0.0,0.564088084,0.513265245,1.0,1.0,1.0,0.15,1.0,2.0,0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1009.c,1.0,1.0,0.998774,0.9843409,0.151515152,0.0,0.740323517,0.741230067,1.0,1.0,1.0,0.176470588,1.0,2.0,0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_101.c,1.0,1.0,0.99978155,0.9743538,0.15942029,0.0,0.839315684,0.55783707,1.0,1.0,1.0,0.150537634,1.0,2.0,0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1010.c,1.0,1.0,0.9988826,0.985448,0.151515152,0.0,0.582146048,0.620245317,1.0,1.0,1.0,0.136363636,1.0,2.0,0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1011.c,1.0,1.0,0.9990227,0.9560002,0.107142857,0.0,0.714499809,0.609703439,1.0,1.0,1.0,0.071428571,1.0,2.0,0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1012.c,1.0,1.0,0.99902403,0.9673364,0.127272727,0.0,0.596830201,0.676446383,1.0,1.0,1.0,0.077922078,1.0,2.0,0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1013.c,1.0,1.0,0.9990608,0.9704971,0.107142857,0.016949153,0.501577623,0.725130923,1.0,1.0,1.0,0.078947368,1.0,2.0,0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1014.c,1.0,1.0,0.99907875,0.9844111,0.127272727,0.0,0.58467947,0.6826227,1.0,1.0,1.0,0.071428571,1.0,2.0,0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1015.c,1.0,1.0,0.99904895,0.9688571,0.127272727,0.0,0.875443842,0.664875186,1.0,1.0,1.0,0.078947368,1.0,2.0,0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1016.c,1.0,1.0,0.99903965,0.9838771,0.127272727,0.0,0.609688985,0.767747823,1.0,1.0,1.0,0.074074074,1.0,2.0,0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1017.c,1.0,1.0,0.999007,0.9621528,0.127272727,0.016949153,0.889305535,0.510687339,1.0,1.0,1.0,0.070422535,1.0,2.0,0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1018.c,1.0,1.0,0.99909216,0.9620517,0.127272727,0.0,0.783793543,0.698473702,1.0,1.0,1.0,0.066666667,1.0,2.0,0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1019.c,1.0,1.0,0.99886537,0.9770751,0.127272727,0.0,0.710997826,0.805245137,1.0,1.0,1.0,0.076923077,1.0,2.0,0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_102.c,1.0,1.0,0.99978906,0.97344863,0.15942029,0.0,0.655719076,0.79498236,1.0,1.0,1.0,0.142857143,1.0,2.0,0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1020.c,1.0,1.0,0.9990168,0.9794093,0.127272727,0.0,0.597359289,0.877227301,1.0,1.0,1.0,0.077922078,1.0,2.0,0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1021.c,1.0,1.0,1.0,0.99999964,0.127272727,0.0,0.611614985,0.772779446,1.0,1.0,1.0,0.050847458,1.0,2.0,0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1022.c,1.0,1.0,1.0,0.99999964,0.127272727,0.016949153,0.727034001,0.810756875,1.0,1.0,1.0,0.050847458,1.0,2.0,0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1023.c,1.0,1.0,1.0,0.99999964,0.127272727,0.0,0.664722066,0.714773354,1.0,1.0,1.0,0.050847458,1.0,2.0,0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1024.c,1.0,1.0,1.0,0.99999964,0.127272727,0.0,0.56689341,0.808543043,1.0,1.0,1.0,0.050847458,1.0,2.0,0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1025.c,1.0,1.0,1.0000002,0.9999999,0.118644068,0.0,0.82019092,0.682768467,1.0,1.0,1.0,0.044776119,1.0,2.0,0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1026.c,1.0,1.0,0.99999994,1.0000001,0.127272727,0.016949153,0.882372272,0.674960274,1.0,1.0,1.0,0.053571429,1.0,2.0,0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1027.c,1.0,1.0,1.0,0.99999964,0.127272727,0.0,0.827049925,0.639010747,1.0,1.0,1.0,0.050847458,1.0,2.0,0,1.0,1.0,1.0,1.0,1.0,type12
Gpt_false_pair_1028.c,1.0,1.0,1.0,1.0,0.127272727,0.0,0.874568717,0.705995818,1.0,1.0,1.0,0.053571429,1.0,2.0,0,1.0,1.0,1.0,1.0,1.0,type12
